origin,model,h,actual,pred,abs_error,scaled_error,pct_error
144,ETS,1,8.28694448785894,8.587737999844128,0.300793511985189,0.28599396014821227,3.6297276086002075
144,ETS,3,6.216545985360281,8.037689667311614,1.821143681951333,1.7315403186814875,29.295105131371248
144,ETS,6,5.882844598572972,8.61601406127956,2.733169462706589,2.5986928814944257,46.45999765775873
144,ETS,12,8.272607421196671,9.400274377943582,1.1276669567469106,1.07218382657207,13.631336522237488
144,SARIMA,1,8.28694448785894,8.591982750280037,0.3050382624210979,0.2900298616508557,3.6809497501522332
144,SARIMA,3,6.216545985360281,8.266449969787715,2.0499039844274334,1.9490452256126727,32.974966955201104
144,SARIMA,6,5.882844598572972,8.844454088654466,2.9616094900814938,2.8158932714035405,50.343153562137346
144,SARIMA,12,8.272607421196671,9.62865480287475,1.3560473816780796,1.289327546578945,16.392019016924667
147,random walk,1,5.480740011254924,6.216545985360281,0.7358059741053573,0.7001845711229887,13.425303382286874
147,random walk,3,5.882844598572972,6.216545985360281,0.3337013867873093,0.31754643290972095,5.672449462089425
147,random walk,6,4.622954312887498,6.216545985360281,1.5935916724727832,1.5164436563486687,34.47128317989856
147,random walk,12,6.582280189862657,6.216545985360281,0.3657342045023757,0.3480284968273933,5.5563451258978835
147,seasonal naive,1,5.480740011254924,15.823655940006423,10.342915928751498,9.842200809172892,188.71385811974108
147,seasonal naive,3,5.882844598572972,19.365305943376825,13.482461344803852,12.829756412173476,229.18268736988824
147,seasonal naive,6,4.622954312887498,11.706353144439927,7.0833988315524286,6.740481522991083,153.22234121600343
147,seasonal naive,12,6.582280189862657,6.216545985360281,0.3657342045023757,0.3480284968273933,5.5563451258978835
147,ETS,1,5.480740011254924,6.57740625726765,1.0966662460127257,1.0435750892932136,20.009455726063937
147,ETS,3,5.882844598572972,6.802780201608811,0.9199356030358388,0.8754002255222066,15.63759823366729
147,ETS,6,4.622954312887498,6.125376847260751,1.5024225343732525,1.4296881445610843,32.49918629273321
147,ETS,12,6.582280189862657,6.197709421669617,0.3845707681930399,0.36595315595402617,5.842515923058332
147,SARIMA,1,5.480740011254924,6.57941549199948,1.0986754807445562,1.045487054143326,20.046115642931085
147,SARIMA,3,5.882844598572972,6.805004183760772,0.9221595851878002,0.8775165415675468,15.675402770481012
147,SARIMA,6,4.622954312887498,6.127718917038424,1.5047646041509255,1.4319168314439463,32.54984804751508
147,SARIMA,12,6.582280189862657,6.396925597823803,0.18535459203885374,0.17638131531916357,2.81596326337365
150,random walk,1,5.240945433269407,5.882844598572972,0.6418991653035651,0.6180071342932649,12.247774251355551
150,random walk,3,4.622954312887498,5.882844598572972,1.259890285685474,1.2129961013614645,27.2529253030525
150,random walk,6,8.272607421196671,5.882844598572972,2.389762822623699,2.3008138247879004,28.887661422207422
150,random walk,12,7.353503544146996,5.882844598572972,1.4706589455740238,1.4159197730801432,19.99943206316384
150,seasonal naive,1,5.240945433269407,16.835257678529214,11.594312245259808,11.16276211608049,221.22558597270194
150,seasonal naive,3,4.622954312887498,11.706353144439927,7.0833988315524286,6.8197487231094005,153.22234121600343
150,seasonal naive,6,8.272607421196671,9.244262229579315,0.9716548083826435,0.9354889928340181,11.74544806626505
150,seasonal naive,12,7.353503544146996,5.882844598572972,1.4706589455740238,1.4159197730801432,19.99943206316384
150,ETS,1,5.240945433269407,5.219281456980893,0.02166397628851424,0.02085762472853549,0.41336008100736543
150,ETS,3,4.622954312887498,5.209471029779218,0.5865167168917198,0.5646860675538143,12.687054147532367
150,ETS,6,8.272607421196671,6.670954245901524,1.601653175295147,1.5420382865395272,19.360923270591517
150,ETS,12,7.353503544146996,5.789474880949627,1.5640286631973686,1.505814190672797,21.26916311126624
150,SARIMA,1,5.240945433269407,5.220115124503604,0.020830308765803274,0.020054987017641572,0.39745326546567206
150,SARIMA,3,4.622954312887498,5.210323146337352,0.5873688334498537,0.5655064676113951,12.705486442131484
150,SARIMA,6,8.272607421196671,6.671809136725479,1.6007982844711925,1.541215215476651,19.35058927575255
150,SARIMA,12,7.353503544146996,5.987396641778553,1.3661069023684425,1.3152592455416319,18.577633017608214
153,random walk,1,6.194050153346564,4.622954312887498,1.5710958404590656,1.5306131350250327,25.364596694623522
153,random walk,3,8.272607421196671,4.622954312887498,3.649653108309173,3.5556118487530965,44.11732507646584
153,random walk,6,6.582280189862657,4.622954312887498,1.959325876975159,1.9088395792686568,29.7666738646694
153,random walk,12,5.946470273165506,4.622954312887498,1.3235159602780078,1.28941268956887,22.257169370720757
153,seasonal naive,1,6.194050153346564,10.391910903021152,4.1978607496745886,4.089693726501445,67.77246947873904
153,seasonal naive,3,8.272607421196671,9.244262229579315,0.9716548083826435,0.9466180064394707,11.74544806626505
153,seasonal naive,6,6.582280189862657,6.216545985360281,0.3657342045023757,0.3563102663270357,5.5563451258978835
153,seasonal naive,12,5.946470273165506,4.622954312887498,1.3235159602780078,1.28941268956887,22.257169370720757
153,ETS,1,6.194050153346564,5.303977649705335,0.8900725036412291,0.8671378474274417,14.369798138627191
153,ETS,3,8.272607421196671,6.086000128248028,2.1866072929486435,2.130264594648021,26.431899661356596
153,ETS,6,6.582280189862657,4.696766989536477,1.88551320032618,1.8369288469626819,28.645289260552158
153,ETS,12,5.946470273165506,4.482837204405302,1.4636330687602035,1.4259193756421467,24.613476592409878
153,SARIMA,1,6.194050153346564,5.304375344561298,0.8896748087852657,0.8667504000454338,14.363377543925537
153,SARIMA,3,8.272607421196671,6.086603640588385,2.186003780608286,2.1296766331172776,26.424604351551235
153,SARIMA,6,6.582280189862657,4.894315367949436,1.687964821913221,1.6444707326865855,25.644074290742726
153,SARIMA,12,5.946470273165506,4.6800872704725,1.266383002693006,1.2337518870446398,21.29638162672371
156,random walk,1,8.984119674922814,8.272607421196671,0.7115122537261431,0.6860227221335958,7.9196658044546355
156,random walk,3,6.582280189862657,8.272607421196671,1.690327231334014,1.6297721964218328,25.67996473224097
156,random walk,6,7.353503544146996,8.272607421196671,0.9191038770496753,0.8861774907672157,12.498856790260664
156,random walk,12,6.474851605308903,8.272607421196671,1.7977558158877684,1.7333522115580047,27.76520491085449
156,seasonal naive,1,8.984119674922814,8.28694448785894,0.6971751870638752,0.6721992729272726,7.760083483859701
156,seasonal naive,3,6.582280189862657,6.216545985360281,0.3657342045023757,0.3526319796126177,5.5563451258978835
156,seasonal naive,6,7.353503544146996,5.882844598572972,1.4706589455740238,1.4179734050808595,19.99943206316384
156,seasonal naive,12,6.474851605308903,8.272607421196671,1.7977558158877684,1.7333522115580047,27.76520491085449
156,ETS,1,8.984119674922814,7.524900580002335,1.4592190949204795,1.4069433807277343,16.242204553369515
156,ETS,3,6.582280189862657,6.857908313837523,0.27562812397486613,0.26575389941013217,4.187426180966284
156,ETS,6,7.353503544146996,7.365783396202644,0.012279852055648632,0.0118399331712091,0.16699321598101022
156,ETS,12,6.474851605308903,8.273616909413496,1.7987653041045935,1.734325535419739,27.780795819779687
156,SARIMA,1,8.984119674922814,7.517197996452622,1.4669216784701922,1.4143700234967977,16.3279400937276
156,SARIMA,3,6.582280189862657,7.050136596034825,0.46785640617216817,0.45109571008654437,7.107816633097934
156,SARIMA,6,7.353503544146996,7.558009533266071,0.2045059891190748,0.19717967556197596,2.781068750308156
156,SARIMA,12,6.474851605308903,8.465715024744641,1.9908634194357386,1.9195418423857304,30.74763007392134
159,random walk,1,6.1726329646941185,6.582280189862657,0.4096472251685386,0.39496729696012384,6.636507103396815
159,random walk,3,7.353503544146996,6.582280189862657,0.7712233542843387,0.7435861513986388,10.487835487591383
159,random walk,6,5.946470273165506,6.582280189862657,0.6358099166971511,0.613025327035956,10.692223915864094
159,random walk,12,5.932215763401308,6.582280189862657,0.6500644264613493,0.626769018791077,10.95820604624514
159,seasonal naive,1,6.1726329646941185,5.480740011254924,0.6918929534391944,0.6670985980515396,11.209040897079822
159,seasonal naive,3,7.353503544146996,5.882844598572972,1.4706589455740238,1.4179570928244847,19.99943206316384
159,seasonal naive,6,5.946470273165506,4.622954312887498,1.3235159602780078,1.2760870553914223,22.257169370720757
159,seasonal naive,12,5.932215763401308,6.582280189862657,0.6500644264613493,0.626769018791077,10.95820604624514
159,ETS,1,6.1726329646941185,6.86431711297147,0.6916841482773517,0.666897275534756,11.205658140271876
159,ETS,3,7.353503544146996,7.103489208132517,0.25001433601447864,0.241054938078225,3.399934935959567
159,ETS,6,5.946470273165506,6.381315968661673,0.4348456954961675,0.41926276657727735,7.3126691216886295
159,ETS,12,5.932215763401308,6.607575511776746,0.6753597483754383,0.651157869266101,11.384612011957781
159,SARIMA,1,6.1726329646941185,6.867062053877147,0.6944290891830285,0.6695438500096212,11.250127670881863
159,SARIMA,3,7.353503544146996,7.106228890497149,0.24727465364984713,0.23841343370176393,3.3626781052776513
159,SARIMA,6,5.946470273165506,6.384127857011963,0.43765758384645714,0.42197388939914104,7.359955801367814
159,SARIMA,12,5.932215763401308,6.79030980130801,0.8580940379067021,0.8273437774420878,14.46498361035175
162,random walk,1,7.09157033360702,7.353503544146996,0.26193321053997565,0.25486817715378035,3.6935854573516904
162,random walk,3,5.946470273165506,7.353503544146996,1.40703327098149,1.369081851936616,23.661654836331653
162,random walk,6,6.474851605308903,7.353503544146996,0.8786519388380931,0.8549523656914151,13.57022511709246
162,random walk,12,6.716171751092052,7.353503544146996,0.637331793054944,0.6201412642681039,9.4895100464236
162,seasonal naive,1,7.09157033360702,5.240945433269407,1.8506249003376132,1.8007086385575355,26.096122766596334
162,seasonal naive,3,5.946470273165506,4.622954312887498,1.3235159602780078,1.2878172246069945,22.257169370720757
162,seasonal naive,6,6.474851605308903,8.272607421196671,1.7977558158877684,1.7492655735344207,27.76520491085449
162,seasonal naive,12,6.716171751092052,7.353503544146996,0.637331793054944,0.6201412642681039,9.4895100464236
162,ETS,1,7.09157033360702,6.681496813226406,0.41007352038061384,0.3990127499410383,5.782548872670295
162,ETS,3,5.946470273165506,6.6249317958939375,0.6784615227284316,0.6601616160482372,11.409483131364647
162,ETS,6,6.474851605308903,8.254674463272156,1.7798228579632536,1.73181631504683,27.488241684240755
162,ETS,12,6.716171751092052,7.377382530205431,0.6612107791133797,0.6433761707408179,9.845054647476319
162,SARIMA,1,7.09157033360702,6.679767121146676,0.41180321246034435,0.4006957876378979,5.806939691605468
162,SARIMA,3,5.946470273165506,6.623190599887841,0.676720326722335,0.6584673847164162,11.380201962433993
162,SARIMA,6,6.474851605308903,8.25299713682223,1.7781455315133279,1.7301842305398556,27.46233643494438
162,SARIMA,12,6.716171751092052,7.55602853594815,0.8398567848560985,0.8172036199046254,12.504992665197069
165,random walk,1,5.236767880902195,5.946470273165506,0.7097023922633108,0.6974961728560787,13.552298066360782
165,random walk,3,6.474851605308903,5.946470273165506,0.5283813321433968,0.5192936659031018,8.160516477476687
165,random walk,6,5.932215763401308,5.946470273165506,0.014254509764198176,0.014009345487423719,0.24028980624981822
165,random walk,12,5.739723829714088,5.946470273165506,0.20674644345141768,0.20319059739827852,3.6020277209350735
165,seasonal naive,1,5.236767880902195,6.194050153346564,0.9572822724443686,0.9408179099461026,18.280021078181665
165,seasonal naive,3,6.474851605308903,8.272607421196671,1.7977558158877684,1.7668360921154238,27.76520491085449
165,seasonal naive,6,5.932215763401308,6.582280189862657,0.6500644264613493,0.6388839244583635,10.95820604624514
165,seasonal naive,12,5.739723829714088,5.946470273165506,0.20674644345141768,0.20319059739827852,3.6020277209350735
165,ETS,1,5.236767880902195,6.698005326401868,1.4612374454996733,1.4361055239220228,27.903422086524294
165,ETS,3,6.474851605308903,7.580103110946255,1.1052515056373524,1.0862422102974294,17.069912532530125
165,ETS,6,5.932215763401308,6.176032942532442,0.24381717913113388,0.2396237509897463,4.110052446766339
165,ETS,12,5.739723829714088,5.931752395628158,0.19202856591406992,0.18872585363135067,3.345606367329966
165,SARIMA,1,5.236767880902195,6.699137938203534,1.4623700573013387,1.437218655856768,27.925050156116534
165,SARIMA,3,6.474851605308903,7.581083848105301,1.1062322427963984,1.0872060796917973,17.08505939949835
165,SARIMA,6,5.932215763401308,6.357419322697094,0.42520355929578635,0.4178904545435978,7.167702191802794
165,SARIMA,12,5.739723829714088,6.113078240735207,0.37335441102111844,0.36693306327414493,6.504745212448945
168,random walk,1,6.808061919054777,6.474851605308903,0.33321031374587395,0.3296223748448465,4.8943490483432095
168,random walk,3,5.932215763401308,6.474851605308903,0.542635841907595,0.5367928527624364,9.147270826785777
168,random walk,6,6.716171751092052,6.474851605308903,0.2413201457831491,0.2387216609735903,3.5931205264950283
168,random walk,12,4.690524566627673,6.474851605308903,1.78432703868123,1.765113778676553,38.04109782041074
168,seasonal naive,1,6.808061919054777,8.984119674922814,2.1760577558680376,2.1526264215092943,31.962954828268643
168,seasonal naive,3,5.932215763401308,6.582280189862657,0.6500644264613493,0.6430646688078285,10.95820604624514
168,seasonal naive,6,6.716171751092052,7.353503544146996,0.637331793054944,0.6304691377323739,9.4895100464236
168,seasonal naive,12,4.690524566627673,6.474851605308903,1.78432703868123,1.765113778676553,38.04109782041074
168,ETS,1,6.808061919054777,5.863680103445322,0.9443818156094546,0.9342129099247636,13.87152212829127
168,ETS,3,5.932215763401308,5.073013465359069,0.8592022980422387,0.8499505875704283,14.483665670811755
168,ETS,6,6.716171751092052,5.599753052329696,1.1164186987623559,1.1043973359356973,16.62284319308579
168,ETS,12,4.690524566627673,6.37976406609712,1.6892394994694477,1.6710501221804814,36.013871699726614
168,SARIMA,1,6.808061919054777,5.862870582452965,0.9451913366018116,0.9350137141645477,13.883412751525634
168,SARIMA,3,5.932215763401308,5.25387637006027,0.6783393933410373,0.6710351767635041,11.434840208038947
168,SARIMA,6,6.716171751092052,5.780560052899105,0.9356116981929468,0.9255372272965777,13.930729184238267
